pair,TP,BO,SO,MaxSO,SOS,OS,MSC,,end_date,tot_deals,avg_duration_m,max_duration_m,tot_days_deals,max_safe_orders,final_profit,required_investment,profit_percent
BTC/USDT,1,10,15,15,2,1,1,,2021-05-01T03:35:00Z,522,584.664.750.957.854,23269,134,13,36.647.113.550.951,235,1.559.451.640.466
LINK/USDT,1,10,15,15,2,1,1,,2021-04-29T17:23:00Z,1119,27.090.527.256.479,14413,150,15,283.349.471.294.553,235,120.574.243.104.065
ETH/USDT,1,10,15,15,2,1,1,,2021-04-30T14:27:00Z,868,35.069.930.875.576,11652,161,14,214.600.714.570.222,235,0.913194530086051
BTT/USDT,1,10,15,15,2,1.05,1,,2021-05-01T04:29:00Z,1865,163.672.386.058.981,53431,109,15,502.383.838.777.346,33.367.845.382.341,150.559.268.367.749
ADA/USDT,1,10,15,15,2,1.05,1,,2021-04-30T21:05:00Z,1680,181.431.547.619.047,9810,161,15,430.745.752.016.532,33.367.845.382.341,129.090.070.719.547
BTC/USDT,1,10,15,15,2,1.05,1,,2021-05-01T03:35:00Z,524,58.243.320.610.687,23269,136,13,367.766.574.307.106,33.367.845.382.341,110.215.859.038.275
LINK/USDT,1,10,15,15,2,1.05,1,,2021-04-29T17:26:00Z,1252,242.129.392.971.246,12925,163,15,33.104.094.714.354,33.367.845.382.341,0.992095663805533
ETH/USDT,1,10,15,15,2,1.05,1,,2021-04-30T14:27:00Z,957,318.084.639.498.432,9294,171,12,244.275.548.932.587,33.367.845.382.341,0.732068691081454
BTT/USDT,1,10,15,15,2,1.1,1,,2021-05-01T04:29:00Z,2095,145.703.579.952.267,47477,129,15,585.647.789.305.759,486.587.225.412.348,120.358.233.574.558
ADA/USDT,1,10,15,15,2,1.1,1,,2021-04-30T18:23:00Z,1772,171.920.428.893.905,9393,171,15,470.825.974.262.491,486.587.225.412.348,0.967608580072153
BTC/USDT,1,10,15,15,2,1.1,1,,2021-05-01T03:35:00Z,535,570.457.943.925.233,23269,141,13,375.935.462.015.444,486.587.225.412.348,0.772596242527465
LINK/USDT,1,10,15,15,2,1.1,1,,2021-04-29T17:26:00Z,1349,224.719.051.148.999,8974,166,15,37.247.119.864.722,486.587.225.412.348,0.765476730984003
ETH/USDT,1,10,15,15,2,1.1,1,,2021-04-30T14:27:00Z,996,305.629.518.072.289,9281,171,12,262.702.719.646.929,486.587.225.412.348,0.539888237765197
ADA/USDT,1,10,15,25,2.4,1,1,,2021-04-30T19:31:00Z,1501,203.005.329.780.146,11190,159,13,334.872.206.009.427,385,0.869797937686824
BTC/USDT,1,10,15,25,2.4,1,1,,2021-05-01T03:35:00Z,474,643.871.308.016.877,21067,127,11,300.609.905.235.498,385,0.780804948663632
BTT/USDT,1,10,15,25,2.4,1,1,,2021-05-01T04:28:00Z,1618,18.865.760.197.775,47469,108,22,372.480.846.461.715,385,0.967482718082377
ETH/USDT,1,10,15,25,2.4,1,1,,2021-05-01T00:26:00Z,811,376.086.313.193.588,10773,155,11,180.153.337.452.452,385,0.467930746629745
LINK/USDT,1,10,15,25,2.4,1,1,,2021-04-29T17:26:00Z,1057,286.798.486.281.929,14411,147,17,24.217.883.343.441,385,0.629035930998468
BTC/USDT,1,10,15,25,2.4,1.05,1,,2021-05-01T03:35:00Z,478,638.483.263.598.326,21067,128,11,302.193.663.407.793,725.906.482.269.815,0.416298339784585
BTT/USDT,1,10,15,25,2.4,1.05,1,,2021-05-01T04:28:00Z,1915,159.398.433.420.365,47451,128,20,460.117.953.511.779,725.906.482.269.815,0.633852933883508
ETH/USDT,1,10,15,25,2.4,1.05,1,,2021-05-01T00:26:00Z,856,356.315.420.560.747,10533,164,11,194.886.692.267.707,725.906.482.269.815,0.268473552761675
LINK/USDT,1,10,15,25,2.4,1.05,1,,2021-04-29T17:26:00Z,1134,267.324.514.991.181,14403,154,15,268.512.065.531.462,725.906.482.269.815,0.369898977471395
ADA/USDT,1,10,15,25,2.4,1.05,1,,2021-04-30T21:16:00Z,1602,190.272.159.800.249,9522,166,14,365.860.013.000.301,725.906.482.269.815,0.504004333803858
BTC/USDT,1,10,15,25,2.4,1.1,1,,2021-05-01T03:35:00Z,484,630.568.181.818.181,21067,129,11,306.378.505.249.741,148.520.589.150.825,0.206286890593066
BTT/USDT,1,10,15,25,2.4,1.1,1,,2021-05-01T04:28:00Z,2101,145.287.006.187.529,47451,137,20,522.133.261.111.204,148.520.589.150.825,0.351556147263169
ETH/USDT,1,10,15,25,2.4,1.1,1,,2021-05-01T00:26:00Z,910,335.171.428.571.428,10532,167,10,213.185.521.891.061,148.520.589.150.825,0.143539372628374
LINK/USDT,1,10,15,25,2.4,1.1,1,,2021-04-29T17:26:00Z,1214,249.708.401.976.935,8976,163,15,298.477.174.539.694,148.520.589.150.825,0.200966866780055
ADA/USDT,1,10,15,25,2.4,1.1,1,,2021-04-30T21:16:00Z,1677,18.176.267.143.709,9500,167,12,393.235.851.821.907,148.520.589.150.825,0.264768577925965
BTT/USDT,1,10,20,30,2,1,1,,2021-05-01T03:47:00Z,1895,161.059.102.902.374,53462,104,26,565.018.178.321.413,610,0.926259308723628
ADA/USDT,1,10,20,30,2,1,1,,2021-04-30T19:33:00Z,1694,179.877.804.014.167,20099,154,17,485.945.426.204.447,610,0.796631846236798
BTC/USDT,1,10,20,30,2,1,1,,2021-05-01T03:35:00Z,549,555.910.746.812.386,23269,140,13,385.833.867.779.468,610,0.632514537343391
LINK/USDT,1,10,20,30,2,1,1,,2021-04-29T17:40:00Z,1247,243.111.467.522.052,12932,157,18,365.967.612.331.377,610,0.599946905461275
ETH/USDT,1,10,20,30,2,1,1,,2021-04-30T04:25:00Z,927,327.729.234.088.457,9297,165,14,261.470.078.601.747,610,0.428639473117619
BTT/USDT,1,10,20,30,2,1.05,1,,2021-05-01T03:47:00Z,2283,133.686.815.593.517,47459,138,24,711.132.777.974.211,133.877.695.006.026,0.531180924456609
ADA/USDT,1,10,20,30,2,1.05,1,,2021-04-30T19:33:00Z,1862,163.648.227.712.137,14234,171,17,55.192.968.997.736,133.877.695.006.026,0.412264111622563
LINK/USDT,1,10,20,30,2,1.05,1,,2021-04-30T04:57:00Z,1385,219.376.895.306.859,12925,166,18,425.287.808.060.662,133.877.695.006.026,0.317668905220931
BTC/USDT,1,10,20,30,2,1.05,1,,2021-05-01T03:35:00Z,557,547.926.391.382.405,23269,144,13,392.700.813.131.654,133.877.695.006.026,0.293328035797133
ETH/USDT,1,10,20,30,2,1.05,1,,2021-04-30T04:25:00Z,1011,300.499.505.440.158,9294,172,12,296.384.462.518.107,133.877.695.006.026,0.221384497622823
BTT/USDT,1,10,20,22,2,1.1,1,,2021-05-01T03:47:00Z,2448,124.676.062.091.503,47459,142,22,804.955.773.100.897,143.805.498.773.679,0.559753124856325
ADA/USDT,1,10,20,22,2,1.1,1,,2021-04-30T19:33:00Z,1946,156.584.275.436.793,14058,172,14,60.208.256.024.914,143.805.498.773.679,0.418678399215244
LINK/USDT,1,10,20,22,2,1.1,1,,2021-04-29T17:28:00Z,1486,20.400.269.179.004,8967,176,18,480.841.140.925.043,143.805.498.773.679,0.334369092298611
BTC/USDT,1,10,20,22,2,1.1,1,,2021-05-01T04:51:00Z,577,529.065.857.885.615,20662,149,13,411.692.551.785.416,143.805.498.773.679,0.286284290445204
ETH/USDT,1,10,20,22,2,1.1,1,,2021-04-30T04:25:00Z,1052,288.788.022.813.688,9180,171,12,319.685.771.682.849,143.805.498.773.679,0.222304275155687
BTT/USDT,1,10,20,20,2,1,1,,2021-05-01T03:47:00Z,1883,162.085.501.858.736,53462,104,20,561.498.501.384.537,410,136.950.853.996.228
ADA/USDT,1,10,20,20,2,1,1,,2021-04-30T19:33:00Z,1694,179.877.804.014.167,20099,154,17,485.945.426.204.447,410,118.523.274.684.011
BTC/USDT,1,10,20,20,2,1,1,,2021-05-01T03:35:00Z,549,555.910.746.812.386,23269,140,13,385.833.867.779.468,410,0.941058214096265
LINK/USDT,1,10,20,20,2,1,1,,2021-04-29T17:40:00Z,1247,243.111.467.522.052,12932,157,18,365.967.612.331.377,410,0.892603932515555
ETH/USDT,1,10,20,20,2,1,1,,2021-04-30T04:25:00Z,927,327.729.234.088.457,9297,165,14,261.470.078.601.747,410,0.637731899028652
BTT/USDT,1,10,20,20,2,1.05,1,,2021-05-01T03:47:00Z,2221,137.418.730.301.665,47459,133,20,687.565.526.102.735,671.319.082.057.768,102.420.077.795.966
ADA/USDT,1,10,20,20,2,1.05,1,,2021-04-30T19:33:00Z,1862,163.648.227.712.137,14234,171,17,55.192.968.997.736,671.319.082.057.768,0.822157011067749
LINK/USDT,1,10,20,20,2,1.05,1,,2021-04-30T04:57:00Z,1385,219.376.895.306.859,12925,166,18,425.287.808.060.662,671.319.082.057.768,0.633510679835055
BTC/USDT,1,10,20,20,2,1.05,1,,2021-05-01T03:35:00Z,557,547.926.391.382.405,23269,144,13,392.700.813.131.654,671.319.082.057.768,0.584968941934324
ETH/USDT,1,10,20,20,2,1.05,1,,2021-04-30T04:25:00Z,1011,300.499.505.440.158,9294,172,12,296.384.462.518.107,671.319.082.057.768,0.441495661957964
BTT/USDT,1,10,20,20,2,1.1,1,,2021-05-01T03:47:00Z,2355,129.599.575.371.549,47459,134,20,769.087.631.929.042,115.549.998.986.512,0.665588609843965
ADA/USDT,1,10,20,20,2,1.1,1,,2021-04-30T19:33:00Z,1946,156.584.275.436.793,14058,172,14,60.208.256.024.914,115.549.998.986.512,0.521058040268282
LINK/USDT,1,10,20,20,2,1.1,1,,2021-04-29T17:28:00Z,1486,20.400.269.179.004,8967,176,18,480.841.140.925.043,115.549.998.986.512,0.416132535822151
BTC/USDT,1,10,20,20,2,1.1,1,,2021-05-01T04:51:00Z,577,529.065.857.885.615,20662,149,13,411.692.551.785.416,115.549.998.986.512,0.356289533012866
ETH/USDT,1,10,20,20,2,1.1,1,,2021-04-30T04:25:00Z,1052,288.788.022.813.688,9180,171,12,319.685.771.682.849,115.549.998.986.512,0.276664452173786
BTT/USDT,1,10,20,15,2,1,1,,2021-05-01T03:47:00Z,1765,172.921.813.031.161,53462,104,15,529.821.408.226.541,310,170.910.131.685.981
ADA/USDT,1,10,20,15,2,1,1,,2021-04-30T19:33:00Z,1679,181.484.812.388.326,20099,153,15,481.215.845.003.591,310,155.230.917.743.094
BTC/USDT,1,10,20,15,2,1,1,,2021-05-01T03:35:00Z,549,555.910.746.812.386,23269,140,13,385.833.867.779.468,310,124.462.537.993.376
LINK/USDT,1,10,20,15,2,1,1,,2021-04-29T17:40:00Z,1237,245.076.798.706.548,12932,157,15,362.886.119.078,310,117.060.038.412.258
ETH/USDT,1,10,20,15,2,1,1,,2021-04-30T04:25:00Z,927,327.729.234.088.457,9297,165,14,261.470.078.601.747,310,0.84345186645725
BTT/USDT,1,10,20,15,2,1.05,1,,2021-05-01T03:47:00Z,2116,144.237.712.665.406,47478,133,15,654.566.318.604.248,441.571.271.764.547,148.235.711.981.116
ADA/USDT,1,10,20,15,2,1.05,1,,2021-04-30T19:33:00Z,1836,165.965.686.274.509,14234,170,15,543.649.759.789.374,441.571.271.764.547,123.117.103.523.722
LINK/USDT,1,10,20,15,2,1.05,1,,2021-04-30T04:57:00Z,1355,224.233.948.339.483,12925,166,15,415.074.295.605.923,441.571.271.764.547,0.93999388580525
BTC/USDT,1,10,20,15,2,1.05,1,,2021-05-01T03:35:00Z,557,547.926.391.382.405,23269,144,13,392.700.813.131.654,441.571.271.764.547,0.889326000675716
ETH/USDT,1,10,20,15,2,1.05,1,,2021-04-30T04:25:00Z,1011,300.499.505.440.158,9294,172,12,296.384.462.518.107,441.571.271.764.547,0.671204132763746
BTT/USDT,1,10,20,15,2,1.1,1,,2021-05-01T03:47:00Z,2284,133.628.283.712.784,47477,134,15,73.639.732.423.522,64.544.963.388.313,114.090.594.459.699
ADA/USDT,1,10,20,15,2,1.1,1,,2021-04-30T19:33:00Z,1946,156.584.275.436.793,14058,172,14,60.208.256.024.914,64.544.963.388.313,0.932811064787368
LINK/USDT,1,10,20,15,2,1.1,1,,2021-04-29T17:28:00Z,1474,205.663.500.678.426,8967,176,15,473.188.900.365.132,64.544.963.388.313,0.733115142568677
BTC/USDT,1,10,20,15,2,1.1,1,,2021-05-01T04:51:00Z,577,529.065.857.885.615,20662,149,13,411.692.551.785.416,64.544.963.388.313,0.637838384551566
ETH/USDT,1,10,20,15,2,1.1,1,,2021-04-30T04:25:00Z,1052,288.788.022.813.688,9180,171,12,319.685.771.682.849,64.544.963.388.313,0.495291584193126
ADA/USDT,1,10,20,25,2.4,1,1,,2021-04-30T21:12:00Z,1648,184.958.737.864.077,9532,171,14,418.850.193.875.986,510,0.821274889952915
BTC/USDT,1,10,20,25,2.4,1,1,,2021-05-01T03:35:00Z,486,627.973.251.028.806,21067,129,11,310.970.607.546.594,510,0.609746289307048
BTT/USDT,1,10,20,25,2.4,1,1,,2021-05-01T04:27:00Z,1804,169.205.654.101.995,29520,130,23,472.956.621.873.154,510,0.92736592524148
ETH/USDT,1,10,20,25,2.4,1,1,,2021-04-30T04:25:00Z,872,348.400.229.357.798,10533,163,11,21.816.209.798.657,510,0.427768819581511
LINK/USDT,1,10,20,25,2.4,1,1,,2021-04-29T17:26:00Z,1189,254.958.788.898.233,14410,158,15,308.083.460.409.879,510,0.604085216489959
BTC/USDT,1,10,20,25,2.4,1.05,1,,2021-05-01T03:35:00Z,486,627.973.251.028.806,21067,129,11,310.970.607.546.594,964.541.976.359.754,0.322402357977429
BTT/USDT,1,10,20,25,2.4,1.05,1,,2021-05-01T04:27:00Z,2187,139.573.388.203.017,14594,156,20,59.708.519.819.341,964.541.976.359.754,0.619034954234806
ETH/USDT,1,10,20,25,2.4,1.05,1,,2021-04-30T11:35:00Z,923,329.615.384.615.384,10532,171,11,237.636.531.333.811,964.541.976.359.754,0.246372410074538
LINK/USDT,1,10,20,25,2.4,1.05,1,,2021-04-30T05:00:00Z,1262,240.760.697.305.863,12921,164,15,340.961.462.947.952,964.541.976.359.754,0.353495722637975
ADA/USDT,1,10,20,25,2.4,1.05,1,,2021-04-30T21:12:00Z,1729,176.293.811.451.706,9514,171,13,452.369.012.357.889,964.541.976.359.754,0.46899878226675
BTC/USDT,1,10,20,25,2.4,1.1,1,,2021-05-01T04:32:00Z,501,609.285.429.141.716,21064,132,11,321.240.336.808.434,197.694.118.867.767,0.162493623304648
BTT/USDT,1,10,20,25,2.4,1.1,1,,2021-05-01T04:27:00Z,2325,131.289.032.258.064,14594,159,20,66.147.680.170.115,197.694.118.867.767,0.334596094962033
ETH/USDT,1,10,20,25,2.4,1.1,1,,2021-04-30T11:35:00Z,959,317.241.918.665.276,10532,173,10,254.018.067.482.277,197.694.118.867.767,0.128490452289166
LINK/USDT,1,10,20,25,2.4,1.1,1,,2021-04-30T03:48:00Z,1343,22.618.615.040.953,8968,169,15,37.677.544.552.327,197.694.118.867.767,0.19058505517571
ADA/USDT,1,10,20,25,2.4,1.1,1,,2021-04-30T19:33:00Z,1797,169.567.612.687.813,9498,177,12,483.265.013.706.952,197.694.118.867.767,0.244450880215711
BTT/USDT,1.2,10,15,30,2,1,1,,2021-05-01T04:29:00Z,1360,224.447.794.117.647,53459,94,30,449.765.037.524.135,460,0.977750081574207
ADA/USDT,1.2,10,15,30,2,1,1,,2021-04-30T21:12:00Z,1290,236.288.372.093.023,20100,149,16,412.987.593.175.403,460,0.897799115598702
BTC/USDT,1.2,10,15,30,2,1,1,,2021-05-01T04:32:00Z,422,723.345.971.563.981,23279,129,13,374.525.174.877.497,460,0.814185162777168
LINK/USDT,1.2,10,15,30,2,1,1,,2021-04-29T17:28:00Z,931,325.615.467.239.527,14416,147,20,306.894.537.214.806,460,0.667162037423492
ETH/USDT,1.2,10,15,30,2,1,1,,2021-04-30T12:00:00Z,684,444.824.561.403.508,11652,149,14,216.714.646.519.921,460,0.471118796782437
BTT/USDT,1.2,10,15,30,2,1.05,1,,2021-05-01T03:47:00Z,1710,178.483.625.730.994,47459,130,24,59.676.215.565.725,100.658.271.254.519,0.592859531779862
ADA/USDT,1.2,10,15,30,2,1.05,1,,2021-04-30T21:12:00Z,1390,219.289.208.633.093,14251,161,14,463.065.703.118.309,100.658.271.254.519,0.460037409094204
BTC/USDT,1.2,10,15,30,2,1.05,1,,2021-05-01T04:32:00Z,423,721.635.933.806.146,23279,129,13,375.977.787.042.878,100.658.271.254.519,0.373519018712529
LINK/USDT,1.2,10,15,30,2,1.05,1,,2021-04-29T17:24:00Z,1023,2.963.284.457.478,9012,159,20,355.844.371.226.969,100.658.271.254.519,0.353517268667566
ETH/USDT,1.2,10,15,30,2,1.05,1,,2021-04-30T04:25:00Z,730,416.171.232.876.712,11652,156,12,241.161.027.628.132,100.658.271.254.519,0.239583915581406
BTT/USDT,1.2,10,15,25,2,1.1,1,,2021-05-01T03:47:00Z,1823,167.420.186.505.759,47459,136,24,681.546.335.350.493,148.520.589.150.825,0.458890137217519
ADA/USDT,1.2,10,15,25,2,1.1,1,,2021-04-30T21:12:00Z,1481,205.814.989.871.708,14232,162,14,511.815.776.419.943,148.520.589.150.825,0.344609309285855
LINK/USDT,1.2,10,15,25,2,1.1,1,,2021-04-29T17:23:00Z,1114,27.212.118.491.921,12924,165,18,40.867.980.523.654,148.520.589.150.825,0.275167104825794
