pair,TP,BO,SO,MaxSO,SOS,OS,MSC,,end_date,tot_deals,avg_duration_m,max_duration_m,tot_days_deals,max_safe_orders,final_profit,required_investment,profit_percent
BTT/USDT,1.2,10,15,15,2,1.1,1,,2021-05-01T03:47:00Z,1714,178.067.094.515.752,47477,131,15,626.326.891.367.288,486.587.225.412.348,128.718.317.838.393
ADA/USDT,1.2,10,15,15,2,1.1,1,,2021-04-30T21:12:00Z,1481,205.814.989.871.708,14232,162,14,511.815.776.419.943,486.587.225.412.348,105.184.795.179.572
LINK/USDT,1.2,10,15,15,2,1.1,1,,2021-04-29T17:23:00Z,1103,274.834.995.466.908,12924,165,15,401.831.917.691.884,486.587.225.412.348,0.82581682523901
BTC/USDT,1.2,10,15,15,2,1.1,1,,2021-05-01T04:32:00Z,435,701.728.735.632.183,23279,132,13,386.291.536.450.604,486.587.225.412.348,0.793879321684309
ETH/USDT,1.2,10,15,15,2,1.1,1,,2021-04-30T04:25:00Z,788,385.539.340.101.522,9726,163,12,270.323.808.362.397,486.587.225.412.348,0.55555056574557
ADA/USDT,1.2,10,15,25,2.4,1,1,,2021-04-30T21:08:00Z,1176,259.190.476.190.476,11191,153,14,333.042.034.602.273,385,0.865044245720192
BTC/USDT,1.2,10,15,25,2.4,1,1,,2021-05-01T04:31:00Z,374,816.179.144.385.026,21224,123,10,294.830.065.107.255,385,0.765792376901961
BTT/USDT,1.2,10,15,25,2.4,1,1,,2021-05-01T04:28:00Z,1236,246.964.401.294.498,53533,85,25,360.916.946.126.478,385,0.937446613315528
ETH/USDT,1.2,10,15,25,2.4,1,1,,2021-04-30T11:34:00Z,647,470.222.565.687.789,11648,144,11,18.295.792.997.167,385,0.47521540252382
LINK/USDT,1.2,10,15,25,2.4,1,1,,2021-04-29T17:40:00Z,873,347.262.313.860.252,14411,146,17,255.642.416.020.346,385,0.664006275377524
ADA/USDT,1.2,10,15,25,2.4,1.05,1,,2021-04-30T21:05:00Z,1252,24.345.447.284.345,9510,162,14,364.716.275.178.821,725.906.482.269.815,0.502428734398956
BTC/USDT,1.2,10,15,25,2.4,1.05,1,,2021-05-01T04:31:00Z,377,809.684.350.132.626,21224,123,10,29.647.036.520.662,725.906.482.269.815,0.408413993328171
BTT/USDT,1.2,10,15,25,2.4,1.05,1,,2021-05-01T04:28:00Z,1496,204.042.780.748.663,53459,108,25,460.522.371.324.802,725.906.482.269.815,0.634410054976791
ETH/USDT,1.2,10,15,25,2.4,1.05,1,,2021-04-30T11:33:00Z,684,444.785.087.719.298,10773,150,11,199.189.435.038.184,725.906.482.269.815,0.274400959219078
LINK/USDT,1.2,10,15,25,2.4,1.05,1,,2021-04-29T17:28:00Z,954,317.765.199.161.425,14404,156,17,288.262.107.472.411,725.906.482.269.815,0.397106396640863
BTC/USDT,1.2,10,15,25,2.4,1.1,1,,2021-05-01T04:31:00Z,379,80.541.160.949.868,21224,123,10,299.930.617.283.239,148.520.589.150.825,0.201945480419993
BTT/USDT,1.2,10,15,25,2.4,1.1,1,,2021-05-01T04:28:00Z,1690,180.620.118.343.195,47459,125,20,542.933.558.243.993,148.520.589.150.825,0.365561139602424
ETH/USDT,1.2,10,15,25,2.4,1.1,1,,2021-04-30T11:33:00Z,735,413.922.448.979.591,10533,156,10,22.190.875.333.327,148.520.589.150.825,0.149412788221515
LINK/USDT,1.2,10,15,25,2.4,1.1,1,,2021-04-29T17:28:00Z,998,303.755.511.022.044,14073,153,17,315.849.125.598.249,148.520.589.150.825,0.21266352860848
ADA/USDT,1.2,10,15,25,2.4,1.1,1,,2021-04-30T21:05:00Z,1318,231.263.277.693.474,19990,158,13,397.893.099.783.802,148.520.589.150.825,0.267904337074595
BTT/USDT,1.2,10,20,30,2,1,1,,2021-05-01T03:46:00Z,1590,191.953.459.119.496,53458,104,26,61.511.217.567.298,610,100.838.061.585.734
ADA/USDT,1.2,10,20,30,2,1,1,,2021-04-30T21:12:00Z,1401,217.567.451.820.128,20383,159,16,519.839.613.403.058,610,0.852196087545997
BTC/USDT,1.2,10,20,30,2,1,1,,2021-05-01T04:32:00Z,438,696.922.374.429.223,23279,133,13,393.377.919.094.959,610,0.6448818345819
LINK/USDT,1.2,10,20,30,2,1,1,,2021-04-29T17:39:00Z,1009,300.454.905.847.373,9449,156,20,387.759.294.241.015,610,0.635670974165599
ETH/USDT,1.2,10,20,30,2,1,1,,2021-04-30T23:59:00Z,742,411.022.911.051.212,11652,158,14,271.625.595.221.813,610,0.445287861019366
BTT/USDT,1.2,10,20,30,2,1.05,1,,2021-05-01T03:46:00Z,1856,164.442.887.931.034,47459,135,24,759.550.776.729.322,133.877.695.006.026,0.567346768776629
ADA/USDT,1.2,10,20,30,2,1.05,1,,2021-04-30T21:12:00Z,1481,205.814.989.871.708,20382,161,16,570.471.695.411.851,133.877.695.006.026,0.426114070298395
LINK/USDT,1.2,10,20,30,2,1.05,1,,2021-04-30T04:52:00Z,1087,279.514.259.429.622,9311,165,20,442.538.551.207.319,133.877.695.006.026,0.330554354993487
BTC/USDT,1.2,10,20,30,2,1.05,1,,2021-05-01T04:32:00Z,444,687.504.504.504.504,23279,134,13,399.049.781.524.706,133.877.695.006.026,0.298070400380543
ETH/USDT,1.2,10,20,30,2,1.05,1,,2021-04-30T23:59:00Z,805,378.855.900.621.118,9726,164,12,308.210.669.907.252,133.877.695.006.026,0.230218088153801
BTT/USDT,1.2,10,20,22,2,1.1,1,,2021-05-01T03:46:00Z,2009,151.919.362.867.098,47459,138,22,873.802.723.232.388,143.805.498.773.679,0.607628171859808
ADA/USDT,1.2,10,20,22,2,1.1,1,,2021-04-30T21:12:00Z,1584,192.431.818.181.818,14518,164,14,638.550.730.634.405,143.805.498.773.679,0.444037770516239
LINK/USDT,1.2,10,20,22,2,1.1,1,,2021-04-29T17:26:00Z,1160,261.332.758.620.689,12924,169,18,502.471.313.856.378,143.805.498.773.679,0.349410362010679
BTC/USDT,1.2,10,20,22,2,1.1,1,,2021-04-30T21:01:00Z,467,652.678.800.856.531,20664,137,13,425.737.620.943.237,143.805.498.773.679,0.296051002620741
ETH/USDT,1.2,10,20,22,2,1.1,1,,2021-04-30T23:59:00Z,845,360.921.893.491.124,9163,164,12,336.796.819.879.844,143.805.498.773.679,0.234203019183496
BTT/USDT,1.2,10,20,20,2,1,1,,2021-05-01T03:46:00Z,1580,193.168.354.430.379,53458,104,20,611.472.458.903.098,410,149.139.624.122.707
ADA/USDT,1.2,10,20,20,2,1,1,,2021-04-30T21:12:00Z,1401,217.567.451.820.128,20383,159,16,519.839.613.403.058,410,126.790.149.610.502
BTC/USDT,1.2,10,20,20,2,1,1,,2021-05-01T04:32:00Z,438,696.922.374.429.223,23279,133,13,393.377.919.094.959,410,0.959458339255998
LINK/USDT,1.2,10,20,20,2,1,1,,2021-04-29T17:39:00Z,1009,300.454.905.847.373,9449,156,20,387.759.294.241.015,410,0.945754376197599
ETH/USDT,1.2,10,20,20,2,1,1,,2021-04-30T23:59:00Z,742,411.022.911.051.212,11652,158,14,271.625.595.221.813,410,0.662501451760521
BTT/USDT,1.2,10,20,20,2,1.05,1,,2021-05-01T03:46:00Z,1806,168.995.570.321.151,47459,130,20,734.514.929.952.455,671.319.082.057.768,109.413.682.641.192
ADA/USDT,1.2,10,20,20,2,1.05,1,,2021-04-30T21:12:00Z,1481,205.814.989.871.708,20382,161,16,570.471.695.411.851,671.319.082.057.768,0.849777267857792
LINK/USDT,1.2,10,20,20,2,1.05,1,,2021-04-30T04:52:00Z,1087,279.514.259.429.622,9311,165,20,442.538.551.207.319,671.319.082.057.768,0.659207466367294
BTC/USDT,1.2,10,20,20,2,1.05,1,,2021-05-01T04:32:00Z,444,687.504.504.504.504,23279,134,13,399.049.781.524.706,671.319.082.057.768,0.594426394526898
ETH/USDT,1.2,10,20,20,2,1.05,1,,2021-04-30T23:59:00Z,805,378.855.900.621.118,9726,164,12,308.210.669.907.252,671.319.082.057.768,0.459112035013969
BTT/USDT,1.2,10,20,20,2,1.1,1,,2021-05-01T03:46:00Z,1944,156.998.971.193.415,47459,132,20,838.777.393.781.755,115.549.998.986.512,0.725899957714117
ADA/USDT,1.2,10,20,20,2,1.1,1,,2021-04-30T21:12:00Z,1584,192.431.818.181.818,14518,164,14,638.550.730.634.405,115.549.998.986.512,0.552618551479988
LINK/USDT,1.2,10,20,20,2,1.1,1,,2021-04-29T17:26:00Z,1160,261.332.758.620.689,12924,169,18,502.471.313.856.378,115.549.998.986.512,0.434851854836476
BTC/USDT,1.2,10,20,20,2,1.1,1,,2021-04-30T21:01:00Z,467,652.678.800.856.531,20664,137,13,425.737.620.943.237,115.549.998.986.512,0.368444504264281
ETH/USDT,1.2,10,20,20,2,1.1,1,,2021-04-30T23:59:00Z,845,360.921.893.491.124,9163,164,12,336.796.819.879.844,115.549.998.986.512,0.291472802106348
BTT/USDT,1.2,10,20,15,2,1,1,,2021-05-01T03:46:00Z,1495,204.151.170.568.561,53458,104,15,58.170.477.450.166,310,187.646.701.452.148
ADA/USDT,1.2,10,20,15,2,1,1,,2021-04-30T21:12:00Z,1401,217.567.451.820.128,20383,159,15,519.579.633.723.881,310,167.606.333.459.316
BTC/USDT,1.2,10,20,15,2,1,1,,2021-05-01T04:32:00Z,438,696.922.374.429.223,23279,133,13,393.377.919.094.959,310,126.896.102.933.857
LINK/USDT,1.2,10,20,15,2,1,1,,2021-04-29T17:39:00Z,993,305.296.072.507.552,9449,155,15,380.735.883.948.414,310,122.818.027.080.133
ETH/USDT,1.2,10,20,15,2,1,1,,2021-04-30T23:59:00Z,742,411.022.911.051.212,11652,158,14,271.625.595.221.813,310,0.876211597489722
BTT/USDT,1.2,10,20,15,2,1.05,1,,2021-05-01T03:46:00Z,1719,177.548.574.752.763,47479,130,15,698.085.740.030.511,441.571.271.764.547,158.091.294.581.034
ADA/USDT,1.2,10,20,15,2,1.05,1,,2021-04-30T21:12:00Z,1477,206.372.376.438.727,20382,161,15,568.345.321.532.825,441.571.271.764.547,128.709.759.414.755
LINK/USDT,1.2,10,20,15,2,1.05,1,,2021-04-30T04:52:00Z,1059,28.690.462.700.661,9311,165,15,42.996.489.101.978,441.571.271.764.547,0.9737157249873
BTC/USDT,1.2,10,20,15,2,1.05,1,,2021-05-01T04:32:00Z,444,687.504.504.504.504,23279,134,13,399.049.781.524.706,441.571.271.764.547,0.903704128962189
ETH/USDT,1.2,10,20,15,2,1.05,1,,2021-04-30T23:59:00Z,805,378.855.900.621.118,9726,164,12,308.210.669.907.252,441.571.271.764.547,0.697986236005849
BTT/USDT,1.2,10,20,15,2,1.1,1,,2021-05-01T03:46:00Z,1884,161.998.938.428.874,47477,132,15,801.821.257.349.689,64.544.963.388.313,124.226.773.904.231
ADA/USDT,1.2,10,20,15,2,1.1,1,,2021-04-30T21:12:00Z,1584,192.431.818.181.818,14518,164,14,638.550.730.634.405,64.544.963.388.313,0.989311477012976
LINK/USDT,1.2,10,20,15,2,1.1,1,,2021-04-29T17:26:00Z,1151,263.376.194.613.379,12924,169,15,494.077.861.393.322,64.544.963.388.313,0.765478567895172
BTC/USDT,1.2,10,20,15,2,1.1,1,,2021-04-30T21:01:00Z,467,652.678.800.856.531,20664,137,13,425.737.620.943.237,64.544.963.388.313,0.659598516435635
ETH/USDT,1.2,10,20,15,2,1.1,1,,2021-04-30T23:59:00Z,845,360.921.893.491.124,9163,164,12,336.796.819.879.844,64.544.963.388.313,0.521801860593861
ADA/USDT,1.2,10,20,25,2.4,1,1,,2021-04-30T19:32:00Z,1311,23.242.715.484.363,11190,154,14,427.805.365.579.519,510,0.838834050155921
BTC/USDT,1.2,10,20,25,2.4,1,1,,2021-05-01T04:31:00Z,387,788.762.273.901.808,21224,128,10,307.877.890.548.235,510,0.603682138329873
BTT/USDT,1.2,10,20,25,2.4,1,1,,2021-05-01T04:28:00Z,1400,218.034.285.714.285,53533,92,22,474.983.072.634.993,510,0.93133935810783
ETH/USDT,1.2,10,20,25,2.4,1,1,,2021-04-30T11:24:00Z,692,439.630.057.803.468,10773,149,11,222.538.458.095.306,510,0.436349917833934
LINK/USDT,1.2,10,20,25,2.4,1,1,,2021-04-29T17:40:00Z,954,317.777.777.777.777,14411,149,17,322.086.594.315.052,510,0.63154234179422
ADA/USDT,1.2,10,20,25,2.4,1.05,1,,2021-04-30T19:32:00Z,1396,218.275.071.633.237,20010,158,14,469.793.767.256.557,964.541.976.359.754,0.487064097541498
BTC/USDT,1.2,10,20,25,2.4,1.05,1,,2021-05-01T04:31:00Z,389,784.706.940.874.036,21224,128,10,309.066.575.732.187,964.541.976.359.754,0.320428331070281
BTT/USDT,1.2,10,20,25,2.4,1.05,1,,2021-05-01T04:28:00Z,1688,180.834.123.222.748,47452,126,20,602.618.762.392.095,964.541.976.359.754,0.624771940632815
ETH/USDT,1.2,10,20,25,2.4,1.05,1,,2021-04-30T11:24:00Z,731,416.175.102.599.179,10533,156,11,243.646.865.421.156,964.541.976.359.754,0.252603693144279
LINK/USDT,1.2,10,20,25,2.4,1.05,1,,2021-04-29T17:40:00Z,1049,288.999.046.711.153,9542,164,17,368.206.427.175.864,964.541.976.359.754,0.381742253007484
BTC/USDT,1.2,10,20,25,2.4,1.1,1,,2021-05-01T04:31:00Z,399,765.040.100.250.625,21224,131,10,318.788.151.797.195,197.694.118.867.767,0.161253229799124
BTT/USDT,1.2,10,20,25,2.4,1.1,1,,2021-05-01T04:28:00Z,1835,166.347.683.923.705,47451,133,20,679.710.886.810.879,197.694.118.867.767,0.343819477637328
ETH/USDT,1.2,10,20,25,2.4,1.1,1,,2021-04-30T11:24:00Z,782,389.033.248.081.841,10532,163,10,270.883.379.876.273,197.694.118.867.767,0.137021466003983
LINK/USDT,1.2,10,20,25,2.4,1.1,1,,2021-04-29T17:40:00Z,1083,279.926.131.117.266,9180,162,15,398.023.206.427.946,197.694.118.867.767,0.201332851329873
ADA/USDT,1.2,10,20,25,2.4,1.1,1,,2021-04-30T19:32:00Z,1467,207.710.974.778.459,9489,169,12,509.047.986.683.279,197.694.118.867.767,0.257492731497879
BTT/USDT,0.8,10,15,30,2,1,1,,2021-05-01T03:46:00Z,2302,132.582.971.329.278,47469,121,26,435.416.286.169.722,460,0.946557143847221
ADA/USDT,0.8,10,15,30,2,1,1,,2021-04-30T19:32:00Z,1986,153.430.010.070.493,20099,160,17,364.198.211.819.434,460,0.791735243085727
BTC/USDT,0.8,10,15,30,2,1,1,,2021-05-01T04:39:00Z,667,457.659.670.164.917,23264,140,13,351.730.880.137.822,460,0.764632348125702
LINK/USDT,0.8,10,15,30,2,1,1,,2021-04-29T17:25:00Z,1484,204.275.606.469.002,12931,159,18,280.230.575.431.149,460,0.609196903111194
ETH/USDT,0.8,10,15,30,2,1,1,,2021-04-30T21:59:00Z,1140,267.420.175.438.596,9457,174,14,211.755.044.755.008,460,0.460337053815236
BTT/USDT,0.8,10,15,30,2,1.05,1,,2021-05-01T03:46:00Z,2668,114.395.052.473.763,47451,137,24,52.463.870.024.347,100.658.271.254.519,0.521207739517891
ADA/USDT,0.8,10,15,30,2,1.05,1,,2021-04-30T21:05:00Z,2190,139.180.365.296.803,14234,172,16,414.147.813.900.939,100.658.271.254.519,0.411439426427008
BTC/USDT,0.8,10,15,30,2,1.05,1,,2021-05-01T04:39:00Z,671,454.931.445.603.576,23264,142,13,353.374.171.614.507,100.658.271.254.519,0.351063223330134
LINK/USDT,0.8,10,15,30,2,1.05,1,,2021-04-30T04:57:00Z,1654,18.369.830.713.422,12925,170,18,322.901.284.247.593,100.658.271.254.519,0.320789618402167
ETH/USDT,0.8,10,15,30,2,1.05,1,,2021-04-30T21:59:00Z,1196,254.898.829.431.438,9295,178,12,228.571.161.949.728,100.658.271.254.519,0.227076383392055
BTT/USDT,0.8,10,15,25,2,1.1,1,,2021-05-01T03:46:00Z,2957,103.214.744.673.655,28529,150,24,607.034.634.674.095,148.520.589.150.825,0.408720863649173
ADA/USDT,0.8,10,15,25,2,1.1,1,,2021-04-30T19:32:00Z,2299,132.541.104.828.186,14058,175,14,449.629.445.466.112,148.520.589.150.825,0.302738797386202
LINK/USDT,0.8,10,15,25,2,1.1,1,,2021-04-30T04:57:00Z,1765,172.145.609.065.155,7782,181,18,359.927.770.576.431,148.520.589.150.825,0.242342002973687
BTC/USDT,0.8,10,15,25,2,1.1,1,,2021-05-01T04:39:00Z,677,450.899.556.868.537,23264,145,13,356.215.402.703.323,148.520.589.150.825,0.23984243850634
ETH/USDT,0.8,10,15,25,2,1.1,1,,2021-04-30T21:58:00Z,1254,243.108.452.950.558,9175,179,12,246.283.048.306.163,148.520.589.150.825,0.165824179471883
BTT/USDT,0.8,10,15,20,2,1,1,,2021-05-01T03:46:00Z,2285,133.569.365.426.695,47469,121,20,432.806.578.364.104,310,139.615.025.278.743
ADA/USDT,0.8,10,15,20,2,1,1,,2021-04-30T19:32:00Z,1986,153.430.010.070.493,20099,160,17,364.198.211.819.434,310,117.483.294.135.301
BTC/USDT,0.8,10,15,20,2,1,1,,2021-05-01T04:39:00Z,667,457.659.670.164.917,23264,140,13,351.730.880.137.822,310,113.461.574.238.007
LINK/USDT,0.8,10,15,20,2,1,1,,2021-04-29T17:25:00Z,1484,204.275.606.469.002,12931,159,18,280.230.575.431.149,310,0.903969598164998
ETH/USDT,0.8,10,15,20,2,1,1,,2021-04-30T21:59:00Z,1140,267.420.175.438.596,9457,174,14,211.755.044.755.008,310,0.683080789532286
BTT/USDT,0.8,10,15,20,2,1.05,1,,2021-05-01T03:46:00Z,2588,117.931.221.020.092,47451,132,20,506.399.834.576.717,505.989.311.543.326,100.081.132.748.069
ADA/USDT,0.8,10,15,20,2,1.05,1,,2021-04-30T21:05:00Z,2190,139.180.365.296.803,14234,172,16,414.147.813.900.939,505.989.311.543.326,0.818491229859659
BTC/USDT,0.8,10,15,20,2,1.05,1,,2021-05-01T04:39:00Z,671,454.931.445.603.576,23264,142,13,353.374.171.614.507,505.989.311.543.326,0.698382680331083
LINK/USDT,0.8,10,15,20,2,1.05,1,,2021-04-30T04:57:00Z,1654,18.369.830.713.422,12925,170,18,322.901.284.247.593,505.989.311.543.326,0.638158310622623
ETH/USDT,0.8,10,15,20,2,1.05,1,,2021-04-30T21:59:00Z,1196,254.898.829.431.438,9295,178,12,228.571.161.949.728,505.989.311.543.326,0.451731206045756
BTT/USDT,0.8,10,15,20,2,1.1,1,,2021-05-01T03:46:00Z,2828,107.922.913.719.943,28529,142,20,575.312.505.319.464,869.124.992.398.841,0.661944496304915
ADA/USDT,0.8,10,15,20,2,1.1,1,,2021-04-30T19:32:00Z,2299,132.541.104.828.186,14058,175,14,449.629.445.466.112,869.124.992.398.841,0.517335768040803
LINK/USDT,0.8,10,15,20,2,1.1,1,,2021-04-30T04:57:00Z,1765,172.145.609.065.155,7782,181,18,359.927.770.576.431,869.124.992.398.841,0.414126591369795
BTC/USDT,0.8,10,15,20,2,1.1,1,,2021-05-01T04:39:00Z,677,450.899.556.868.537,23264,145,13,356.215.402.703.323,869.124.992.398.841,0.409855205889484
ETH/USDT,0.8,10,15,20,2,1.1,1,,2021-04-30T21:58:00Z,1254,243.108.452.950.558,9175,179,12,246.283.048.306.163,869.124.992.398.841,0.283368963566916
BTT/USDT,0.8,10,15,15,2,1,1,,2021-05-01T03:46:00Z,2152,141.824.349.442.379,47474,121,15,409.229.217.597.162,235,174.140.092.594.537
ADA/USDT,0.8,10,15,15,2,1,1,,2021-04-30T19:32:00Z,1968,154.833.333.333.333,20099,159,15,360.823.570.025.071,235,153.541.944.691.519
BTC/USDT,0.8,10,15,15,2,1,1,,2021-05-01T04:39:00Z,667,457.659.670.164.917,23264,140,13,351.730.880.137.822,235,149.672.714.952.265
LINK/USDT,0.8,10,15,15,2,1,1,,2021-04-29T17:25:00Z,1470,206.221.088.435.374,12931,159,15,27.761.899.480.633,235,118.135.742.470.778
ETH/USDT,0.8,10,15,15,2,1,1,,2021-04-30T21:59:00Z,1140,267.420.175.438.596,9457,174,14,211.755.044.755.008,235,0.901085296829824
BTT/USDT,0.8,10,15,15,2,1.05,1,,2021-05-01T03:46:00Z,2433,125.444.307.439.375,47469,132,15,477.548.551.300.384,33.367.845.382.341,143.116.388.196.018
ADA/USDT,0.8,10,15,15,2,1.05,1,,2021-04-30T21:05:00Z,2184,139.562.728.937.728,14234,172,15,412.773.803.627.114,33.367.845.382.341,123.704.062.667.937
BTC/USDT,0.8,10,15,15,2,1.05,1,,2021-05-01T04:39:00Z,671,454.931.445.603.576,23264,142,13,353.374.171.614.507,33.367.845.382.341,105.902.604.008.564
LINK/USDT,0.8,10,15,15,2,1.05,1,,2021-04-30T04:57:00Z,1624,187.091.748.768.472,12925,170,15,316.227.600.197.895,33.367.845.382.341,0.947701586885348
ETH/USDT,0.8,10,15,15,2,1.05,1,,2021-04-30T21:59:00Z,1196,254.898.829.431.438,9295,178,12,228.571.161.949.728,33.367.845.382.341,0.685004258832646
BTT/USDT,0.8,10,15,15,2,1.1,1,,2021-05-01T03:46:00Z,2708,112.705.317.577.548,28529,142,15,548.073.918.953.581,486.587.225.412.348,112.636.314.792.096
ADA/USDT,0.8,10,15,15,2,1.1,1,,2021-04-30T19:32:00Z,2299,132.541.104.828.186,14058,175,14,449.629.445.466.112,486.587.225.412.348,0.924046958045565
BTC/USDT,0.8,10,15,15,2,1.1,1,,2021-05-01T04:39:00Z,677,450.899.556.868.537,23264,145,13,356.215.402.703.323,486.587.225.412.348,0.732068957218218
LINK/USDT,0.8,10,15,15,2,1.1,1,,2021-04-30T04:57:00Z,1750,173.621.142.857.142,7782,181,15,354.691.240.886.514,486.587.225.412.348,0.728936606557927
ETH/USDT,0.8,10,15,15,2,1.1,1,,2021-04-30T21:58:00Z,1254,243.108.452.950.558,9175,179,12,246.283.048.306.163,486.587.225.412.348,0.506143678756581
BTC/USDT,0.8,10,15,25,2.4,1,1,,2021-05-01T04:32:00Z,590,51.737.627.118.644,18733,132,10,286.145.476.165.143,385,0.743235003026346
BTT/USDT,0.8,10,15,25,2.4,1,1,,2021-05-01T03:47:00Z,2025,150.719.506.172.839,29520,128,24,346.101.276.988.964,385,0.898964355815492
ETH/USDT,0.8,10,15,25,2.4,1,1,,2021-05-01T00:26:00Z,1041,292.993.275.696.445,10533,161,11,174.978.225.474.563,385,0.454488897336527
LINK/USDT,0.8,10,15,25,2.4,1,1,,2021-04-29T17:28:00Z,1383,219.195.950.831.525,12924,157,15,236.421.735.288.143,385,0.614082429319852
ADA/USDT,0.8,10,15,25,2.4,1,1,,2021-04-30T18:23:00Z,1905,159.917.585.301.837,20076,162,14,317.762.112.174.454,385,0.825356135518063
BTC/USDT,0.8,10,15,25,2.4,1.05,1,,2021-05-01T04:32:00Z,594,513.892.255.892.255,18733,134,10,287.579.922.651.663,725.906.482.269.815,0.396166627073557
BTT/USDT,0.8,10,15,25,2.4,1.05,1,,2021-05-01T04:29:00Z,2527,120.795.013.850.415,14594,153,20,445.680.403.769.957,725.906.482.269.815,0.613963939785153
ETH/USDT,0.8,10,15,25,2.4,1.05,1,,2021-05-01T00:26:00Z,1094,278.798.903.107.861,10532,166,10,188.363.420.837.912,725.906.482.269.815,0.259487172850316
LINK/USDT,0.8,10,15,25,2.4,1.05,1,,2021-04-29T17:28:00Z,1461,20.749.349.760.438,12921,160,15,257.060.414.238.174,725.906.482.269.815,0.354123321001873
ADA/USDT,0.8,10,15,25,2.4,1.05,1,,2021-04-30T18:23:00Z,2065,147.526.876.513.317,20003,165,12,35.223.017.445.189,725.906.482.269.815,0.485228032887256
BTC/USDT,0.8,10,15,25,2.4,1.1,1,,2021-05-01T04:32:00Z,601,507.906.821.963.394,18733,135,10,29.141.325.321.001,148.520.589.150.825,0.196210676833549
BTT/USDT,0.8,10,15,25,2.4,1.1,1,,2021-05-01T03:47:00Z,2677,114.010.833.022.039,14594,156,20,487.789.350.691.835,148.520.589.150.825,0.328432140944764
ETH/USDT,0.8,10,15,25,2.4,1.1,1,,2021-05-01T00:26:00Z,1146,266.148.342.059.336,10532,168,10,201.827.682.711.307,148.520.589.150.825,0.135892056357484
LINK/USDT,0.8,10,15,25,2.4,1.1,1,,2021-04-30T05:00:00Z,1579,192.425.585.813.806,8968,171,15,285.860.259.121.737,148.520.589.150.825,0.192471805260239
ADA/USDT,0.8,10,15,25,2.4,1.1,1,,2021-04-30T19:31:00Z,2112,144.276.041.666.666,14228,171,12,367.965.934.485.004,148.520.589.150.825,0.247754157581025
BTT/USDT,0.8,10,20,30,2,1,1,,2021-05-01T04:27:00Z,2580,118.312.790.697.674,47470,128,26,557.217.648.776.154,610,0.913471555370744
ADA/USDT,0.8,10,20,30,2,1,1,,2021-04-30T19:31:00Z,2249,1.354.873.277.012,9427,174,16,472.186.415.687.609,610,0.774076091291163
BTC/USDT,0.8,10,20,30,2,1,1,,2021-05-01T04:39:00Z,697,437.961.262.553.802,23264,147,13,368.530.773.434.507,610,0.604148808909028
LINK/USDT,0.8,10,20,30,2,1,1,,2021-04-30T04:57:00Z,1640,185.266.463.414.634,12929,168,18,352.647.643.190.121,610,0.578110890475608
ETH/USDT,0.8,10,20,30,2,1,1,,2021-04-30T19:28:00Z,1228,248.133.550.488.599,10544,174,12,256.604.362.915.568,610,0.420662890025521
BTT/USDT,0.8,10,20,30,2,1.05,1,,2021-05-01T04:27:00Z,2909,10.493.193.537.298,47452,137,24,655.630.180.492.851,133.877.695.006.026,0.489723236169652
ADA/USDT,0.8,10,20,30,2,1.05,1,,2021-04-30T19:31:00Z,2330,130.777.253.218.884,9408,176,16,504.889.855.920.906,133.877.695.006.026,0.377127687997749
LINK/USDT,0.8,10,20,30,2,1.05,1,,2021-04-30T04:48:00Z,1853,163.965.461.413.923,8991,182,18,41.358.478.139.216,133.877.695.006.026,0.308927324580501
BTC/USDT,0.8,10,20,30,2,1.05,1,,2021-05-01T04:39:00Z,702,43.484.188.034.188,23264,147,13,370.618.080.889.345,133.877.695.006.026,0.276833329758674
ETH/USDT,0.8,10,20,30,2,1.05,1,,2021-04-30T19:28:00Z,1289,236.391.000.775.795,9282,178,12,277.162.529.469.129,133.877.695.006.026,0.207026666732388
BTT/USDT,0.8,10,20,22,2,1.1,1,,2021-05-01T03:46:00Z,3190,956.758.620.689.655,14594,168,22,75.228.141.902.875,143.805.498.773.679,0.523124237559709
ADA/USDT,0.8,10,20,22,2,1.1,1,,2021-04-30T19:31:00Z,2478,122.966.505.246.166,9371,182,14,555.541.950.577.134,143.805.498.773.679,0.386314817802234
LINK/USDT,0.8,10,20,22,2,1.1,1,,2021-04-30T03:37:00Z,1901,159.788.006.312.467,8948,184,18,446.378.103.896.418,143.805.498.773.679,0.310404058052693
BTC/USDT,0.8,10,20,22,2,1.1,1,,2021-05-01T04:39:00Z,738,413.630.081.300.813,20661,150,13,39.104.361.463.458,143.805.498.773.679,0.271925356101996
ETH/USDT,0.8,10,20,22,2,1.1,1,,2021-04-30T19:28:00Z,1357,224.545.320.560.058,9275,179,12,30.166.113.000.501,143.805.498.773.679,0.209770233111713
BTT/USDT,0.8,10,20,20,2,1,1,,2021-05-01T04:27:00Z,2565,119.004.678.362.573,47470,128,20,554.427.961.150.992,410,135.226.331.988.046
ADA/USDT,0.8,10,20,20,2,1,1,,2021-04-30T19:31:00Z,2249,1.354.873.277.012,9427,174,16,472.186.415.687.609,410,115.167.418.460.392
BTC/USDT,0.8,10,20,20,2,1,1,,2021-05-01T04:39:00Z,697,437.961.262.553.802,23264,147,13,368.530.773.434.507,410,0.898855544962213
LINK/USDT,0.8,10,20,20,2,1,1,,2021-04-30T04:57:00Z,1640,185.266.463.414.634,12929,168,18,352.647.643.190.121,410,0.860116202902735
